날짜,외국인 순매수,연기금 순매수,개인 순매수,체결가
24.12.19,"-2,156",-34,"2,231","2,435.93"
24.12.18,"3,922","1,003","-4,925","2,484.43"
24.12.17,"-7,012","1,415","5,597","2,456.81"
24.12.16,"-4,321","1,423","2,899","2,488.97"
24.12.13,"-1,746","2,608",-864,"2,494.46"
24.12.12,-227,"3,878","-3,651","2,482.12"
24.12.11,"-1,413",-268,"1,680","2,442.51"
24.12.10,"-1,067",203,863,"2,417.84"
24.12.09,"1,049","2,283","-3,333","2,360.58"
24.12.06,"-2,843","3,445",-603,"2,428.16"
24.12.05,"-3,164","1,575","1,592","2,441.85"
24.12.04,"-4,080","1,120","2,960","2,464.00"
24.12.03,"5,645",-3,"-5,642","2,500.10"